"File1","File2","Sim",
"ref.py","403.py",0.275,
"ref.py","404.py",0.25,
"ref.py","405.py",0.275,
"ref.py","406.py",0.475,
"ref.py","407.py",0,
"ref.py","408.py",0.275,
"ref.py","409.py",0.475,
"ref.py","410.py",0.275,
"ref.py","411.py",0.275,
"ref.py","412.py",0.275,
"ref.py","413.py",0.275,
"ref.py","414.py",0.275,
"ref.py","415.py",0,
"ref.py","416.py",0.475,
"ref.py","417.py",0,
"ref.py","418.py",0.275,
"ref.py","419.py",0,
"ref.py","420.py",0.275,
"ref.py","421.py",0.275,
"ref.py","422.py",0.275,
"ref.py","423.py",0.475,
"ref.py","424.py",0.275,
"ref.py","425.py",0.275,
"ref.py","426.py",0,
"ref.py","427.py",0,
"ref.py","428.py",0.275,
"ref.py","429.py",0.275,
"ref.py","430.py",0.275,
"ref.py","431.py",0,
"ref.py","432.py",0.275,
"ref.py","433.py",0.475,
"ref.py","434.py",0.275,
"ref.py","435.py",0,
"ref.py","436.py",0.75,
"ref.py","437.py",0.475,
"ref.py","438.py",0.475,
"ref.py","439.py",0,
"ref.py","440.py",0,
"ref.py","441.py",0.275,
"ref.py","442.py",0.475,
"ref.py","443.py",0,
"ref.py","444.py",0.275,
"ref.py","445.py",0.475,
"ref.py","446.py",0.475,
"ref.py","447.py",0.475,
"ref.py","448.py",0.475,
"ref.py","449.py",0.275,
"ref.py","450.py",0,
"ref.py","451.py",0.475,
"ref.py","452.py",0.275,
"ref.py","453.py",0,
"ref.py","454.py",0.275,
"ref.py","455.py",0.275,
"ref.py","456.py",0.275,
"ref.py","457.py",0.75,
"ref.py","458.py",0.475,
"ref.py","459.py",0.475,
"ref.py","460.py",0.275,
"ref.py","461.py",0.275,
"ref.py","462.py",0,
"ref.py","463.py",0.275,
"ref.py","464.py",0.275,
"ref.py","465.py",0.275,
"ref.py","466.py",0.275,
"ref.py","467.py",0.275,
"ref.py","468.py",0.8,
"ref.py","469.py",0.275,
"ref.py","470.py",0.275,
"ref.py","471.py",0,
"ref.py","472.py",0.475,
"ref.py","473.py",0.8,
"ref.py","474.py",0.275,
"ref.py","475.py",0.475,
"ref.py","476.py",0.8,
"ref.py","477.py",0.475,
"ref.py","478.py",0.275,
"ref.py","479.py",0.275,
"ref.py","480.py",0.275,
"ref.py","481.py",0.4,
"ref.py","482.py",0.475,
"ref.py","483.py",0.475,
"ref.py","484.py",0.275,
"ref.py","485.py",0,
"ref.py","486.py",0.275,
"ref.py","487.py",0.475,
"ref.py","488.py",0.475,
"ref.py","489.py",0.275,
"ref.py","490.py","EMPTY SUBMISSION",
"ref.py","491.py",0.275,
"ref.py","492.py",0.275,
"ref.py","493.py",0.475,
"ref.py","494.py",0.275,
"ref.py","495.py",0.275,
"ref.py","496.py",0.275,
"ref.py","497.py",0.275,
"ref.py","498.py",0.275,
